id,keyword,location,text,target,cleaned_text,text_length,word_count
8549,rescue,Republic of the Philippines,UPDATE: Rescuers are already at Brgy. Mahabang Dahilig. There are 40 dogs there for rescue and meron sila tatlong van. Please…,1,update rescuers are already at brgy mahabang dahilig there are dogs there for rescue and meron sila tatlong van please,118,20
5905,flooding,Oxfordshire,"""We’re in a state of anxiety, shock &amp; grief. This is #ClimateChange. This is what a +1.5 degree world looks like"" …",1,were in a state of anxiety shock amp grief this is climatechange this is what a degree world looks like,103,20
11345,wrecked,,"He's the oxygen that pumps blood to my living heart that gives me life.. I'm sorry if you can't understand me, but it…",0,hes the oxygen that pumps blood to my living heart that gives me life im sorry if you cant understand me but it,111,23
8887,sandstorm,KANSAS,"And I still chant the words ""L-S-U"" during Sandstorm. #CLEMvsLSU",0,and i still chant the words lsu during sandstorm clemvslsu,58,10
7410,mayhem,Somewhere I used to call home,Abso-frickin-lutely! We will have a better soundtrack though.,0,absofrickinlutely we will have a better soundtrack though,57,8
3692,derailed,"harveys, taking a shit",i guarantee it was because he almost derailed academy award season by being leaving everyone thin… https://t.co/EPpVTbxUvF,0,i guarantee it was because he almost derailed academy award season by being leaving everyone thin,97,16
4885,emergency%20services,Kendal via Carlisle/Manchester,"Cumbria County Council is refusing to reveal the full cost of a new base for south Cumbria's emergency services, as… https://t.co/q302A3gBPb",0,cumbria county council is refusing to reveal the full cost of a new base for south cumbrias emergency services as,113,20
5347,fatal,Berlin,"At the Embassy of Ukraine in Dublin, President Higgins today signed the book of condolence for the victims of the fatal c…",0,at the embassy of ukraine in dublin president higgins today signed the book of condolence for the victims of the fatal c,120,22
2565,collision,London,✅ CLEARED ✅ Routes 325 366 are back to their normal routes on Highbridge Road following an earlier collision. https://t.c…,0,cleared routes are back to their normal routes on highbridge road following an earlier collision,96,15
7071,landslide,"Davis, CA","Imagine if we just rallied around Bernie Sanders. We'd save ourselves a ton of stress this year, and Donald Trump would b…",0,imagine if we just rallied around bernie sanders wed save ourselves a ton of stress this year and donald trump would b,118,22
8961,screaming,Calgary,I'M SCREAMING HOW HAD I NOT SEEN THIS BEFORE https://t.co/cDp8is5xdy,0,im screaming how had i not seen this before,43,9
3906,destroy,"West Village, Manhattan",#ITrustBernie hates America and wants to destroy her! https://t.co/vI72vwKFxL,0,itrustbernie hates america and wants to destroy her,51,8
7353,mass%20murderer,"Hyderabad, India",Sekhri doesn't know the difference between a house painter (Hitler… https://t.co/15tcvhYbvO,0,sekhri doesnt know the difference between a house painter hitler,64,10
1343,body%20bag,my gps off,I done watched this body bag at least 5 times 🤦🏿‍♂️🤦🏿‍♂️ 🤦🏿‍♂️..plus when its taping the body ain’t that a murder scene?,1,i done watched this body bag at least times plus when its taping the body aint that a murder scene,98,20
7235,mass%20murder,"New York, USA",...primarily focused on the justification of Stalin's mass-murder of his people (!) Nellie Ohr worked at the oppos… https://t.co/pnB8amuPhz,0,primarily focused on the justification of stalins massmurder of his people nellie ohr worked at the oppos,105,17
7873,obliterated,,"anyway college au where hyunggu is blackout at a party, sees wooseok from across the room and screams I WANT THAT T… https://t.co/zLDl9JsZYV",0,anyway college au where hyunggu is blackout at a party sees wooseok from across the room and screams i want that t,114,22
6196,harm,London,It's Time to Replace Slaughterhouses With Greenhouses - Free From Harm https://t.co/hNjF8wTv8f,0,its time to replace slaughterhouses with greenhouses free from harm,67,10
540,attack,,Attack your local journalist https://t.co/SVuIFchljA,0,attack your local journalist,28,4
10867,weapon,,I was actually thinking he may also be carrying his own protection weapon..,0,i was actually thinking he may also be carrying his own protection weapon,73,13
3735,derailment,Sussex UK,A freight train has experienced a low speed derailment at #Hitchin which is affecting services on betwee… https://t.co/i3iOPnkW45,1,a freight train has experienced a low speed derailment at hitchin which is affecting services on betwee,103,17
1967,bush%20fires,,"Smoke from Aussie bush fires to circle the Earth, spreading pollution: Nasa https://t.co/82lxgUCTaV",1,smoke from aussie bush fires to circle the earth spreading pollution nasa,73,12
3633,derail,,"Democrats, what they cannot *enslave they want to control, what they cannot *control they wa…",0,democrats what they cannot enslave they want to control what they cannot control they wa,88,15
2378,collapsed,"Manila, Philippines",Reading about #TaalVolcano makes it a bit scarier. I was today years old when I learned that it's categorized as a supervol…,0,reading about taalvolcano makes it a bit scarier i was today years old when i learned that its categorized as a supervol,120,22
6635,hostages,"Addis Ababa, Ethiopia",The abductors made several of their hostages to contact their parents and let them know that they were alive. Meanw… https://t.co/OqVymoVoRv,1,the abductors made several of their hostages to contact their parents and let them know that they were alive meanw,114,20
3837,desolation,Boldunec,I go into the black belly of Nidhogg. I go into the terrifying desolation clutching my 'Something for You' card &amp; p… https://t.co/5tV8ndTUvZ,0,i go into the black belly of nidhogg i go into the terrifying desolation clutching my something for you card amp p,114,22
9682,suicide%20bomber,"Westmount, Québec",Either that or she's given up on winning and she's just turned herself into a suicide bomber to take… https://t.co/aVT7noslDX,0,either that or shes given up on winning and shes just turned herself into a suicide bomber to take,98,19
9412,snowstorm,,Don’t you love getting wobbled in your favorite game,0,dont you love getting wobbled in your favorite game,51,9
1570,bombed,Liverpool,Join us on 14thTuesday January 6pm for Justice 4 Grenfell on steps of Bombed out church Liverpool… https://t.co/DSiDY6aQ8z,0,join us on thtuesday january pm for justice grenfell on steps of bombed out church liverpool,92,16
10846,war%20zone,Delayed somewhere..,Disrupted? Nothing moving more like. Cambridge is like a war zone with refugees.,0,disrupted nothing moving more like cambridge is like a war zone with refugees,77,13
5436,fatality,,This should also apply to the tens of thousands of children and young people who local authorities neglected from the ea…,0,this should also apply to the tens of thousands of children and young people who local authorities neglected from the ea,120,21
7434,meltdown,"Oxford, England","It's my party And I meltdown if I can't stand, meltdown if I can't stand, meltdown if I can't stand You would do too if it hap…",0,its my party and i meltdown if i cant stand meltdown if i cant stand meltdown if i cant stand you would do too if it hap,120,27
4563,dust%20storm,"Orland, California, USA",Monster dust storm blankets several Australian states https://t.co/C2CqGXqja6 #grandsolar,1,monster dust storm blankets several australian states grandsolar,64,8
9596,structural%20failure,"Straya, Cunt",The seat ended up having a structural failure on its test ride but at least the motorcycle jacket is… https://t.co/KNxuqrNYcz,1,the seat ended up having a structural failure on its test ride but at least the motorcycle jacket is,100,19
1094,blight,,Ash Ketchum at Blight thinks the SNES mini is in a holding pattern #snesmini,0,ash ketchum at blight thinks the snes mini is in a holding pattern snesmini,75,14
2487,collided,"Paris, Cannes, France",Sgt. David Edward Lloyd. One of THE FEW. https://t.co/njHwA4c6jd Killed when he collided with another Spitfire over Hayes. He…,0,sgt david edward lloyd one of the few killed when he collided with another spitfire over hayes he,97,18
